"city_name","city_id"
"Darjeeling","1266"
"24 Parganas","1267"
"Puruliya","1268"
"South Dinajpur","1269"
"Raghunathganj","1270"
"Baruipur","1271"
"Diamond Harbour","1272"
"Kanker","1273"
"Banderdewa","1274"
"Narsapur","1275"
"Suryapet","1276"
"Tuni","1277"
"Bihta","1278"
"Jashpur","1279"
"Koriya","1280"
"Bicholim","1281"
"Margao","1282"
"Deesa","1283"
"Bansda","1284"
"Raebareli","1285"
"Chandauli","1286"
"Shravasti","1287"
"Siddharthnagar","1288"
"Maharajganj","1289"
"Jalaun","1290"
"Sabarkantha","1291"
"Banaskantha","1292"
"Dang","1293"
"Vizianagaram","1294"
"Kodagu","1295"
"Dharwad","1296"
"Gajapati","1297"
"Kandhamal","1298"
"Malkangiri","1299"
"Nuapada","1300"
"Balangir","1301"
"Debagarh","1302"
"Cachar","1303"
"Dima Hasao","1304"
"Hailakandi","1305"
"East Kameng","1306"
"Upper Siang","1307"
"East Siang","1308"
"Upper Subansiri","1309"
"Lohit","1310"
"Dibang Valley","1311"
"Lower Dibang Valley","1312"
"East Garo Hills","1313"
"Serchhip","1314"
"Champhai","1315"
"Lawngtlai","1316"
"Saiha","1317"
"Peren","1318"
"Kiphire","1319"
"Khagaria","1320"
"Palamu","1321"
"Garhwa","1322"
"Fatehgarh Sahib","1323"
"Sirmaur","1324"
"Kinnaur","1325"
"Lahaul And Spiti","1326"
"Kargil","1327"
"Kaushambi","1328"
"Sant Ravidas Nagar","1329"
"Kawardha","1330"
"Dantewada","1331"
"Narayanpur","1332"
"Nilgiris","1333"
"Manali","1334"
"Bhanpuri","1335"
"Cuncolim","1336"
"Dharbandora","1337"
"Barwala","1338"
